UID,SID,CST,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
UAB048_W3D7,UAB048,IV,3.408304087,3.035737038,2.247015291,1.428134794,0.350248018,1.413299764,1.527629901,2.077226146,3.491391533
UAB048_W5D2,UAB048,IV,3.460335601,3.189660966,1.932473765,1.190331698,1.041392685,1.117271296,1.439332694,2.11208528,3.688612097
UAB048_W7D7,UAB048,IV,2.63855814,2.761099033,1.29666519,1.371067862,-2,-2,1.494154594,1.965671971,2.113946693
UAB048_W9D7,UAB048,IV,3.220297985,3.141378274,1.961421094,1.309630167,-0.511449283,1.311753861,1.411619706,2.419322836,3.004502364
UAB052_W4D2,UAB052,IV,2.372140261,2.440205144,2.081696476,1.511883361,0.380211242,0.99343623,2.096777967,2.388797221,1.783903579
UAB060_W10D2,UAB060,IV,2.798884646,3.112255348,1.758911892,1.217483944,0.471291711,-0.403402904,2.039719406,2.651447627,2.493220972
UAB060_W1D6,UAB060,IV,2.97369207,3.084772828,1.664641976,1.245512668,1.075546961,0.69019608,2.149422352,2.658128783,2.741509291
UAB060_W3D7,UAB060,IV,2.669407078,2.893665796,1.269512944,0.970346876,0.278753601,0.477121255,1.505149978,2.189824258,2.09098421
UAB060_W5D7,UAB060,IV,2.919945814,2.86183837,1.602059991,1.687528961,-0.023191663,0.380211242,2.019660376,2.545989573,3.186558568
UAB060_W7D7,UAB060,IV,3.13398766,2.869828758,1.832508913,1.770852012,0.499687083,1.537819095,2.315084068,2.663057014,3.226303659
UAB071_W10D2,UAB071,IV,3.24124481,2.805812025,1.763427994,1.549003262,0.394451681,0.904715545,2.046826709,2.43261498,3.528619788
UAB071_W1D7,UAB071,IV,3.184730885,2.798216825,2.019357267,1.781036939,-0.268411235,0.995196292,2.436638043,2.648390264,2.929343301
UAB071_W3D7,UAB071,IV,3.323384947,2.736172524,2.276231958,1.967547976,-2,0.733197265,2.525794776,2.631168696,3.830658586
UAB071_W5D7,UAB071,IV,3.124765962,2.867255298,1.808885867,1.73479983,1.167317335,1.515873844,2.283714968,2.657427809,3.183605758
UAB071_W7D7,UAB071,IV,3.157505423,2.901853203,1.257678575,0.810232518,0.617000341,0.152288344,1.463892989,2.43351062,3.1336928
UAB077_W1D7,UAB077,IV,3.155861125,2.768432373,1.597695186,1.451786436,0.100370545,0.552668216,2.554630873,2.420086182,3.827271675
UAB077_W3D1,UAB077,IV,3.064740563,3.205463131,1.846337112,1.790988475,-0.935542011,0.652246341,2.582267956,2.249127396,2.434343715
UAB077_W5D7,UAB077,IV,3.360254971,3.041685538,2.152432066,1.840106094,-1.899629455,0.938019097,2.806534051,2.505363002,3.601896666
UAB077_W8D2,UAB077,IV,2.917855115,3.092350389,2.259457693,2.177484555,-1.220403509,1.385606274,2.607970509,2.669126196,2.718760694
UAB077_W9D7,UAB077,IV,3.302808477,2.885001421,2.070296518,1.95616843,-0.801342913,1.29666519,2.484846279,2.606402864,3.787743347
UAB079_W10D1,UAB079,IV,3.047797264,3.072161265,1.614897216,1.63447727,-1.073143291,0.822168079,2.011126196,2.463201448,3.154037897
UAB079_W2D2,UAB079,IV,3.013875759,2.957267188,1.298853076,1.238046103,-1.289036881,0.755874856,1.805500858,2.413640024,2.807089005
UAB079_W3D7,UAB079,IV,2.989064745,2.736012241,1.880241776,1.689308859,-2,1.40654018,2.262991841,2.763900967,2.723026913
UAB079_W6D7,UAB079,IV,3.214486467,2.826215439,1.605305046,1.482873584,-1.058488567,0.90579588,1.800717078,2.227197454,3.656217545
UAB079_W7D6,UAB079,IV,3.016066376,2.853746869,1.777426822,1.764922985,0.220108088,1.173186268,2.172900531,2.516051233,3.00864147
UAB082_W10D2,UAB082,IV,3.107595574,2.873482197,1.675778342,1.426511261,0.152288344,1.361727836,2.127117762,2.526087158,3.261862138
UAB082_W2D5,UAB082,IV,2.989432018,3.331952789,1.472756449,1.071882007,0.80685803,0.717670503,1.472756449,2.196783938,2.725224545
UAB082_W3D7,UAB082,IV,3.214456518,2.947092426,1.648360011,1.456366033,-0.127261173,0.797959644,2.053508681,2.194245079,3.620198851
UAB082_W5D7,UAB082,IV,3.307057671,2.829166707,1.592176757,1.201397124,-1.127843727,0.505149978,1.938019097,2.20102276,3.704241829
UAB088_W10D1,UAB088,IV,3.396698412,2.568012706,1.238046103,1.320146286,-2,0.656098202,1.390935107,2.375001153,3.081474769
UAB088_W2D1,UAB088,IV,3.26927939,3.268492789,1.773054693,1.511883361,0.190331698,1.096910013,1.962369336,2.564069239,3.534141522
UAB096_W1D5,UAB096,IV,3.099567047,2.826358622,1.613841822,1.888740961,0.440909082,1.354108439,2.320646787,2.648863306,3.215343264
UAB096_W3D3,UAB096,IV,3.02798407,2.57453013,1.832508913,1.28780173,-2,0.609594409,2.179066098,2.34183401,3.182541897
UAB096_W7D3,UAB096,IV,2.427815438,2.567376956,0.537819095,1.113943352,-0.153662888,0.181843588,1.365487985,2.216920312,1.727541257
UAB096_W9D7,UAB096,IV,2.771925379,2.690530978,1.587710965,2.129786535,-0.514278574,0.650307523,2.182388971,2.577775492,2.878443087
UAB110_W10D4,UAB110,IV,3.297234226,3.025552442,-2,0.812913357,-2,-2,2.540156724,2.966107927,2.99725966
UAB110_W1D7,UAB110,IV,3.064480078,3.075138386,1.834420704,1.523746467,-0.147520006,1.136720567,2.247602608,2.586060431,2.773893178
UAB110_W3D7,UAB110,IV,2.702882691,3.121256093,1.212187604,0.561101384,-2,-2,1.522444234,1.665580991,1.866287339
UAB110_W6D2,UAB110,IV,3.026806502,2.744403303,1.595496222,1.737192643,-1.178486472,1.298853076,1.930439595,2.393531333,2.574565989
UAB110_W7D7,UAB110,IV,2.95206462,2.94232708,1.716003344,1.250420002,-0.57024772,0.371067862,2.243298547,2.092639952,2.802058431
UAB116_W1D7,UAB116,IV,3.392800679,3.11961809,1.713490543,1.474216264,1.436162647,0.29666519,2.329347022,2.568262756,3.624766049
UAB116_W4D6,UAB116,IV,2.857048302,3.201138109,1.170261715,0.871572936,-0.263603498,-0.076755981,2.206280643,2.504682861,2.316169614
UAB116_W6D7,UAB116,IV,3.502805392,3.145588866,1.285557309,1.274157849,1.371067862,0.536558443,1.706717782,2.490459947,3.854728226
UAB116_W9D6,UAB116,IV,3.107913432,2.756602641,2.358336574,1.867467488,2.067769928,-2,2.269690362,2.483297671,2.553214086
UAB122_W3D4,UAB122,IV,3.211088489,0.624282096,0.609594409,-0.673664139,-1.305394801,1.380211242,1.385606274,3.011619917,0.139879086
UAB129_W1D7,UAB129,IV,3.270445675,1.857332496,2.37517144,0.656098202,0.374748346,2.445764505,2.827205089,2.991940744,2.144365572
UAB129_W5D7,UAB129,IV,3.096771017,3.080357675,1.864511081,1.78604121,-2,0.045322979,1.69019608,2.685749798,2.876947212
UAB129_W7D7,UAB129,IV,3.484484624,1.556302501,2.467772322,0.790988475,0.484299839,2.811486529,2.805503577,3.335600903,1.754348336
