,MT_FC,MT_p,MG_FC,MG_p,Comparison
K00797,-3.853270354,8.25E-07,-5.010262151,4.24E-12,I_IV
K00798,-2.544497083,0.000869428,-0.35160527,0.592180621,I_IV
K00799,0.38640815,0.474810532,-0.960646314,0.33930053,I_IV
K00800,-4.149944067,2.97E-09,-7.68124085,2.72E-39,I_IV
K00803,-0.273726668,0.619981011,-3.000226864,0.000712123,I_IV
K00805,0.808404468,0.272993186,3.145434833,1.84E-14,I_IV
K00806,2.452864543,7.58E-16,-0.232164856,0.040232018,I_IV
K00810,1.591165386,0.002191855,0.147779941,0.935197571,I_IV
K00811,-3.968233281,1.10E-06,-5.075882316,3.33E-10,I_IV
K00812,-3.616033097,1.52E-06,-5.708972584,1.38E-23,I_IV
K00813,0.079493836,0.903163703,-2.079547226,0.003800274,I_IV
K00817,-4.176660869,7.57E-08,-7.0343139,1.26E-23,I_IV
K00818,-3.093189213,0.001859809,-4.118977356,3.24E-06,I_IV
K00819,1.06160052,0.032836614,-0.593131541,0.514332929,I_IV
K00820,1.039295523,6.78E-05,0.43320796,9.08E-07,I_IV
K00821,-0.188857201,0.74173108,-0.754433049,0.247804653,I_IV
K00823,-2.597435125,0.000680973,-2.449847212,0.01054483,I_IV
K00824,-2.624577384,9.28E-06,-5.480473802,5.05E-16,I_IV
K00826,-4.73727065,9.50E-09,-7.566819169,1.12E-34,I_IV
K00831,-3.416338327,1.50E-06,-6.07123906,3.91E-14,I_IV
K00832,-3.542553468,1.23E-05,-5.83381023,5.03E-13,I_IV
K00833,-3.906898836,2.51E-07,-4.492748238,8.63E-10,I_IV
K00835,1.153252531,0.034077563,0.553931284,0.458180674,I_IV
K00837,-3.815916118,2.11E-07,-6.10912764,1.60E-26,I_IV
K00839,-2.91529708,1.42E-05,-3.080008801,1.19E-05,I_IV
K00840,,,0.205883861,0.857098591,I_IV
K00841,3.826776995,4.42E-13,5.335196341,1.61E-30,I_IV
K00842,-2.428771362,0.00047519,-2.568242361,0.000260378,I_IV
K00844,-2.630548164,0.000460254,-4.855164032,1.61E-09,I_IV
K00845,-1.069758625,0.057480773,-0.607894845,0.036941481,I_IV
K00847,0.364198032,0.42420676,0.429365618,0.010258438,I_IV
K00848,-1.869224987,0.000892854,-4.391126122,5.85E-07,I_IV
K00849,0.19919281,0.786696129,1.119612325,7.84E-06,I_IV
K00850,3.159297222,1.97E-20,1.181410045,4.18E-05,I_IV
K00851,3.776924357,2.17E-06,3.778397754,2.28E-15,I_IV
K00852,1.236220439,0.000108293,-0.65378664,0.005234838,I_IV
K00853,-0.706809924,0.353588131,-3.72350283,1.07E-06,I_IV
K00854,-2.580713748,0.000187763,-3.445209367,3.70E-05,I_IV
K00855,0.896392067,0.055874301,0.071352655,0.960937228,I_IV
K00856,0.975897578,0.037873252,-0.512608178,0.46456854,I_IV
K00857,0.882280289,0.042017459,2.165231483,3.04E-14,I_IV
K00858,-0.034549234,0.932274431,0.058199038,0.722169632,I_IV
K00859,0.835049803,0.059632251,0.235430808,0.024764594,I_IV
K00860,0.716562446,0.128474047,-0.63172914,0.466091417,I_IV
K00861,0.821027651,0.243017743,-0.251635387,0.840617963,I_IV
K00863,0.686353013,0.386279403,2.933111861,1.60E-14,I_IV
K00864,0.232046932,0.735279821,2.58428608,5.97E-17,I_IV
K00865,1.851785972,0.010076125,2.565228085,3.93E-13,I_IV
K00867,1.84808785,0.000421593,1.168431574,6.14E-10,I_IV
K00868,2.803903362,2.48E-08,0.832861092,0.000340302,I_IV
K00869,0.65135821,0.182835267,0.027978002,0.967582064,I_IV
K00872,1.175357889,0.075551005,-0.071976014,0.830272171,I_IV
K00873,2.020437302,7.45E-14,0.178999857,0.088785763,I_IV
K00874,-4.384377021,1.26E-08,-5.352208861,1.08E-11,I_IV
K00875,1.178583862,0.015552079,,,I_IV
K00876,-0.407597088,0.277437134,0.695253029,0.026321395,I_IV
K00878,-4.964433756,3.49E-10,-7.51552548,4.02E-22,I_IV
K00879,-2.470826005,1.93E-05,-3.691001149,2.42E-06,I_IV
K00880,0.639796137,0.195365939,-0.79060603,0.392388304,I_IV
K00881,-0.568388628,0.241832544,-1.722670243,0.00624025,I_IV
K00882,1.50283159,0.000617998,2.06655424,1.01E-15,I_IV
K00883,1.038213588,0.035224874,0.193868848,0.880291741,I_IV
K00884,3.186212586,0.000470614,3.364942092,1.82E-05,I_IV
K00885,0.771976166,0.107011553,0.090642655,0.949366685,I_IV
K00886,-3.9331661,9.17E-06,-7.546545845,1.81E-17,I_IV
K00889,-4.829688901,3.99E-10,-4.813187436,4.07E-09,I_IV
K00891,-4.015790483,3.38E-07,-6.381676734,4.15E-16,I_IV
K00892,,,0.262637143,0.79847473,I_IV
K00895,-4.247021626,1.27E-08,-5.068610078,6.84E-10,I_IV
K00897,1.174839511,0.200620712,0.450595305,0.803426957,I_IV
K00899,-3.455598122,1.28E-07,-2.470862161,7.37E-06,I_IV
K00901,-3.740413986,4.60E-07,-4.748712906,9.55E-15,I_IV
K00903,-1.553033685,0.013549199,1.089477918,0.16180383,I_IV
K00904,4.470253446,2.16E-16,5.970737318,1.53E-50,I_IV
K00906,1.087276093,0.019134111,0.157326224,0.905079855,I_IV
K00907,0.895274523,0.063006715,-2.823183786,3.28E-06,I_IV
K00908,-1.018777261,0.12655462,-1.130954462,0.066420261,I_IV
K00912,-3.946364593,1.35E-07,-5.540725858,6.28E-11,I_IV
K00917,0.558925386,0.493814915,-2.380920796,0.002280707,I_IV
K00918,,,-0.897598613,0.169494671,I_IV
K00919,-4.059895712,5.34E-08,-5.11877246,1.32E-18,I_IV
K00924,1.418094605,0.015494199,3.535947357,2.33E-15,I_IV
K00925,0.013899113,0.936951277,1.105265863,3.17E-19,I_IV
K00926,-1.625867381,0.001244498,1.586154827,3.69E-07,I_IV
K00927,0.968509458,3.00E-06,0.425841565,1.92E-06,I_IV
K00928,0.292431804,0.450824693,0.700273552,8.71E-08,I_IV
K00929,-4.281728534,1.15E-07,-4.870895187,2.29E-10,I_IV
K00930,-2.902209262,0.000489498,-3.029564564,6.71E-05,I_IV
K00931,-3.026404813,1.34E-05,-6.807743783,6.36E-25,I_IV
K00932,0.81730711,0.113105475,0.143621053,0.918637796,I_IV
K00936,2.054320135,1.06E-15,1.238560496,4.12E-21,I_IV
K00937,-3.035727368,5.01E-05,-5.945403404,9.19E-23,I_IV
K00938,2.925873332,7.22E-06,3.302870805,1.15E-16,I_IV
K00939,0.79814296,0.001294233,0.346328588,0.000547707,I_IV
K00940,-0.198455077,0.813339658,-1.432408872,0.022371546,I_IV
K00941,0.966087075,0.06700861,0.211505503,0.494322815,I_IV
K00942,2.344779386,8.15E-17,0.893096987,9.70E-18,I_IV
K00943,1.612050545,3.18E-05,0.2570342,0.052762655,I_IV
K00945,1.466748608,1.23E-06,0.837395476,0.000261624,I_IV
K00946,-4.291920368,6.64E-08,-4.764886089,5.42E-10,I_IV
K00947,0.240813816,0.786277945,-2.086119228,0.006515441,I_IV
K00948,2.101461439,3.51E-16,0.580720646,5.75E-07,I_IV
K00949,-0.367361649,0.357568726,-0.390248096,0.006589068,I_IV
K00950,-3.118913692,2.49E-06,-3.794641824,5.28E-12,I_IV
K00951,0.332804051,0.037411896,-0.355892826,7.75E-08,I_IV
K00954,-1.147563578,0.004340793,0.47026726,0.000234193,I_IV
K00956,0.900031662,0.088174864,-0.090664999,0.964588335,I_IV
K00957,0.616693015,0.208665556,-0.991765772,0.292709917,I_IV
K00958,1.036099565,0.029090946,-0.849934307,0.318104731,I_IV
K00960,,,-0.313268936,0.70694819,I_IV
K00961,-0.338492198,0.472023728,-2.814308323,8.32E-05,I_IV
K00962,-2.670722487,3.46E-08,-7.686128277,1.35E-34,I_IV
K00963,1.803558989,1.99E-07,0.198363022,0.356812311,I_IV
K00965,1.536815276,0.022985094,0.584280947,0.043409232,I_IV
K00966,-3.713404426,3.09E-07,-4.650169608,1.22E-09,I_IV
K00968,-2.243607894,0.000292753,-3.238348274,1.33E-07,I_IV
K00969,2.787910244,1.41E-12,0.470694393,2.66E-07,I_IV
K00970,-3.727321364,2.72E-07,-7.183633597,6.98E-24,I_IV
K00971,-5.386844552,4.35E-11,-4.946940957,4.24E-09,I_IV
K00972,-2.858071198,0.001185877,-3.365719052,5.24E-05,I_IV
K00973,-5.19336343,1.44E-09,-6.83971081,1.17E-22,I_IV
K00974,2.176761067,4.99E-09,1.628697411,4.59E-14,I_IV
K00975,0.652973842,0.001812733,-0.617084602,5.97E-06,I_IV
K00978,0.526814405,0.252667469,-0.883005222,0.1010865,I_IV
K00979,-4.247548276,1.69E-08,-4.734546821,6.12E-10,I_IV
K00980,3.854611806,3.17E-06,6.250917198,5.15E-25,I_IV
K00981,1.261733909,0.000243524,-0.497467076,3.74E-06,I_IV
K00982,-2.95028489,0.000614985,-7.53764778,5.09E-22,I_IV
K00983,-2.744944968,0.000115368,-4.996927748,1.16E-10,I_IV
K00985,7.09574601,1.08E-17,3.731822377,5.77E-17,I_IV
K00986,0.58155185,0.437121153,4.217213266,1.22E-12,I_IV
K00989,-5.121547287,7.77E-11,-7.49948214,2.21E-22,I_IV
K00990,0.116979135,0.833329057,-2.011850451,0.024895521,I_IV
K00991,-4.740912625,1.97E-09,-6.369104826,5.22E-20,I_IV
K00992,-1.847827052,0.021198791,-4.943340554,3.42E-07,I_IV
K00995,1.005116833,0.01389845,-0.93621036,1.07E-07,I_IV
K00996,-0.446889995,0.477663014,-2.742845302,0.000456674,I_IV
K00997,-0.139209916,0.819635854,0.652889977,0.001889404,I_IV
K00998,-4.468855334,1.15E-08,-5.455543742,1.40E-11,I_IV
K01000,-0.652659572,0.06505747,-0.324437445,0.001002941,I_IV
K01002,2.551440164,4.66E-12,3.812424772,1.29E-19,I_IV
K01004,,,-1.485626334,0.015722399,I_IV
K01005,2.527983798,4.73E-07,3.331316769,5.19E-14,I_IV
K01006,-4.210569891,1.42E-12,-6.857795822,3.13E-18,I_IV
K01007,1.411985206,0.016953359,3.170712436,1.29E-45,I_IV
K01008,-1.474518722,0.037873252,-3.755030813,3.12E-08,I_IV
K01011,-1.315769313,0.026086607,-1.802819104,0.034007863,I_IV
K01012,-3.595514524,8.80E-08,-5.406470866,1.18E-12,I_IV
K01023,-0.476085648,0.494807672,-3.20500002,1.26E-05,I_IV
K01026,-0.762319756,0.398823868,4.202718786,1.17E-11,I_IV
K01028,,,-0.204300972,0.898070023,I_IV
K01029,-0.67101248,0.287934626,-2.18927753,0.010338194,I_IV
K01034,-0.916656272,0.130073332,-2.546971142,0.002506634,I_IV
K01035,,,-0.052161427,0.973133504,I_IV
K01036,0.846176239,0.144005598,-0.132579688,0.918637796,I_IV
K01039,-1.141186476,0.167555195,-3.006347852,7.16E-05,I_IV
K01040,-2.058710029,0.007372975,-3.095722802,6.74E-06,I_IV
K01041,-3.909375617,1.25E-06,-4.81284848,9.67E-09,I_IV
K01042,-2.609909957,9.67E-05,-3.228607453,5.91E-05,I_IV
K01043,-5.172331232,2.44E-10,-4.719341284,8.80E-10,I_IV
K01044,0.980558329,0.057480773,-0.783791989,0.394531668,I_IV
K01046,-0.725973665,0.391422898,-1.439098712,0.08445943,I_IV
K01048,-3.339937085,9.28E-06,-5.622720938,9.67E-15,I_IV
K01051,-2.163814115,0.000643349,-2.278235739,0.000872327,I_IV
K01053,1.264167897,0.009545131,-0.211878606,0.847451601,I_IV
K01054,,,-0.18614594,0.901585901,I_IV
K01055,-0.032505767,0.954896301,-1.763071292,0.040720012,I_IV
K01056,-0.945980063,0.020977672,0.368697297,0.00134068,I_IV
K01057,-3.137273751,8.15E-05,-7.176375437,2.37E-19,I_IV
K01058,1.234676853,0.017195897,0.147104062,0.913498357,I_IV
K01060,4.971839997,9.85E-08,5.549602584,2.44E-14,I_IV
K01061,,,0.292726599,0.763302775,I_IV
K01062,0.889569874,0.061255693,-1.050246856,0.158874732,I_IV
K01066,2.780410824,1.92E-05,4.880820686,7.89E-16,I_IV
K01067,-4.535453297,1.46E-08,-5.620847259,2.88E-10,I_IV
K01069,-3.916769619,1.85E-06,-5.921883463,2.07E-21,I_IV
K01070,-0.738102561,0.159085445,-0.491914352,0.497469254,I_IV
K01071,3.550713892,9.86E-09,2.652042986,2.05E-14,I_IV
K01073,0.254395644,0.668712499,-0.49999812,0.548067487,I_IV
K01075,,,-0.140838379,0.913070605,I_IV
K01076,-0.14214066,0.790690526,-1.787505763,0.01235694,I_IV
K01077,-1.018754037,0.13444211,1.986462286,3.78E-07,I_IV
K01078,-6.062893603,5.53E-12,-4.024066872,6.22E-07,I_IV
K01079,-4.108372556,9.82E-09,-6.293513348,1.04E-24,I_IV
K01081,0.584718929,0.177416823,2.561456148,1.07E-09,I_IV
K01083,0.894163343,0.058609213,-0.483547188,0.478027359,I_IV
K01085,-5.393699573,3.87E-09,-4.645465428,1.64E-08,I_IV
K01087,0.81902841,0.267266819,-0.060521672,0.972149868,I_IV
K01089,1.063361697,0.023302159,0.071558205,0.957420247,I_IV
K01090,0.795783758,0.050103406,-1.140522813,1.29E-11,I_IV
K01091,-0.837954235,0.140003976,-1.129730912,0.001614033,I_IV
K01092,-4.039075704,3.99E-08,-6.035416004,6.87E-28,I_IV
K01093,1.174971674,0.020319164,0.084135331,0.952988087,I_IV
K01095,-2.079964515,0.001861039,0.138823333,0.938958988,I_IV
K01096,4.920739431,4.69E-09,5.338198996,2.35E-16,I_IV
K01101,3.234147977,1.60E-08,0.421203364,0.013747641,I_IV
K01104,3.747598785,6.72E-15,3.524228646,2.35E-29,I_IV
K01112,3.27225136,2.95E-06,3.408720355,6.26E-10,I_IV
K01113,-1.096946647,0.077452037,-2.437774227,0.001426539,I_IV
K01114,1.215434756,0.017334622,-1.569384792,0.059509749,I_IV
K01115,0.943882628,0.052639614,-0.050687961,0.972279087,I_IV
K01118,0.395343157,0.419461367,-0.139010149,0.942667716,I_IV
K01119,1.438164122,0.005610026,3.484018206,1.21E-44,I_IV
K01120,0.913787489,0.057480773,,,I_IV
K01121,0.124508722,0.803713562,-2.039675078,0.013960064,I_IV
K01126,1.38270665,0.001486147,3.712941245,2.38E-21,I_IV
K01128,0.789932728,0.116019152,0.49550824,0.722593423,I_IV
K01129,-4.282055504,2.00E-09,-7.449487604,3.37E-36,I_IV
K01130,-3.077121202,3.45E-05,-3.918832499,1.43E-06,I_IV
K01133,-0.99536422,0.082518121,-1.322417518,0.033927587,I_IV
K01134,-3.341112291,2.61E-05,-5.23337217,1.19E-08,I_IV
K01136,0.311193433,0.534380906,-1.040713365,0.081234679,I_IV
K01137,0.072621936,0.896043942,-1.348992032,0.014873828,I_IV
K01138,-3.6121767,4.20E-06,-5.248278988,9.47E-12,I_IV
K01139,0.366719371,0.56627886,-0.408716932,0.636102963,I_IV
K01141,-0.570563433,0.32825471,-2.63713001,0.003688479,I_IV
K01142,-0.687140687,0.104300734,-0.20221886,0.08361049,I_IV
K01144,1.296648283,0.000361506,1.816128842,2.44E-13,I_IV
K01146,0.799955102,0.098023599,-0.021313342,0.98849249,I_IV
K01147,0.717662116,0.175488373,-0.193069317,0.893810763,I_IV
K01150,,,0.016269814,0.990444946,I_IV
K01151,-0.441295667,0.539454345,-2.547389273,0.000555844,I_IV
K01152,-1.966527224,0.026319971,-5.012880485,6.93E-09,I_IV
K01153,0.031428138,0.93156131,-0.116000349,0.707724484,I_IV
K01154,0.394554429,0.357441521,-0.37688496,0.241469643,I_IV
K01155,-4.108034289,1.18E-08,-6.111232477,4.67E-13,I_IV
K01156,1.290636876,0.028555432,2.08537528,0.000145643,I_IV
K01157,1.541652636,0.047106022,4.801756734,2.33E-13,I_IV
K01159,-4.5899462,7.70E-09,-6.763727516,5.39E-23,I_IV
K01163,-3.476627297,1.86E-06,-5.13100225,9.06E-11,I_IV
K01167,,,-0.662552557,0.380911837,I_IV
K01169,1.01609496,0.032238923,0.08849463,0.950602247,I_IV
K01173,-4.956846765,3.21E-08,-5.902343013,1.41E-11,I_IV
K01174,-2.838658723,1.66E-06,-4.117255012,3.40E-07,I_IV
K01175,0.02953403,0.969276682,-0.265158177,0.67522467,I_IV
K01176,-4.498878927,2.01E-09,-7.114679873,1.01E-25,I_IV
K01179,1.368425194,0.061017501,5.50851827,4.49E-15,I_IV
K01180,,,-0.089826737,0.94599804,I_IV
K01181,1.01577646,0.189579427,1.582847965,0.000196496,I_IV
K01182,-4.077802066,1.06E-08,-6.150595102,3.06E-17,I_IV
K01183,0.821695915,0.233126921,-1.991258675,0.015722399,I_IV
K01185,2.629494531,1.81E-11,1.15874157,7.06E-08,I_IV
K01186,-3.990588531,4.84E-08,-8.283613163,9.18E-20,I_IV
K01187,3.111985116,1.76E-18,3.125803261,7.80E-23,I_IV
K01188,-3.043413454,0.000708783,-2.374424053,0.004267499,I_IV
K01190,-0.40453342,0.441546895,0.741835714,0.02350064,I_IV
K01191,1.832686041,0.028146481,0.611879292,0.063811151,I_IV
K01192,-1.011214906,0.233907899,-3.473779916,7.85E-05,I_IV
K01193,3.19041631,4.99E-05,2.237577851,8.51E-07,I_IV
K01194,0.811411597,0.112693515,-0.073286245,0.963924694,I_IV
K01195,-4.601569497,3.27E-08,-2.873790275,4.22E-05,I_IV
K01197,-4.453707417,7.38E-09,-5.614100049,2.62E-11,I_IV
K01198,2.065552667,0.002229022,0.121464931,0.951229625,I_IV
K01200,0.519127182,0.097451495,-1.609910554,1.51E-10,I_IV
K01201,-2.242841123,0.001017489,-0.266843533,0.893810763,I_IV
K01205,-2.375975265,0.00084626,-4.392125878,1.50E-07,I_IV
K01206,-4.107402272,8.97E-08,-6.413035984,6.08E-15,I_IV
K01207,-2.034270061,0.025582177,-3.659360745,6.81E-06,I_IV
K01208,-4.962331724,8.62E-13,-7.627023793,2.58E-18,I_IV
K01209,1.113874675,0.140431346,-1.142791787,0.092350691,I_IV
K01210,-1.284149338,0.033433747,-6.311586122,9.88E-15,I_IV
K01212,-0.041147168,0.966820862,1.030977001,0.35222292,I_IV
K01213,1.189881729,0.012640706,1.463453412,0.017982889,I_IV
K01215,4.910110918,7.98E-11,5.259719023,5.30E-44,I_IV
K01216,-3.018628487,0.000193397,-4.821132532,2.13E-08,I_IV
K01218,0.930856907,0.048798944,-0.970380979,0.100584275,I_IV
K01220,0.628189249,0.505165848,0.166026254,0.940053404,I_IV
K01222,0.439011474,0.584582909,-0.229053526,0.861357152,I_IV
K01223,5.963379594,5.16E-13,4.381152772,7.21E-13,I_IV
K01224,1.038886564,0.053109845,-3.261722477,0.001803944,I_IV
K01225,-2.167807693,0.006983993,-1.586892464,0.027865963,I_IV
K01226,7.846506211,5.03E-20,4.473947798,5.99E-12,I_IV
K01227,-1.762279467,0.001099236,-0.554408969,0.23009115,I_IV
K01230,,,-0.197498304,0.888733322,I_IV
K01232,3.912075269,1.40E-07,5.720897372,7.80E-23,I_IV
K01234,1.536462636,8.27E-06,2.14329199,2.96E-14,I_IV
K01236,0.495764409,0.369130883,-0.659495391,0.499515549,I_IV
K01238,-3.837204275,2.77E-09,-7.533189402,2.76E-25,I_IV
K01239,0.633094798,0.20495611,0.222161248,0.521775064,I_IV
K01241,-0.417201332,0.457843227,-1.381854718,0.132056013,I_IV
K01243,1.681277547,3.99E-05,-0.08775882,0.688989626,I_IV
K01246,4.920133274,1.10E-09,3.993432336,1.26E-15,I_IV
K01247,0.836309831,0.077595229,-0.856122331,0.156734254,I_IV
K01249,5.17058706,9.10E-09,4.156113403,1.07E-07,I_IV
K01250,-2.269270361,0.004348787,-5.936441173,2.10E-12,I_IV
K01251,1.377449941,0.017367996,2.957027347,9.46E-12,I_IV
K01252,0.903262572,0.074293671,0.040511985,0.976238882,I_IV
K01253,0.804229736,0.083391129,-1.221766734,0.052747414,I_IV
K01255,-4.633738081,1.07E-08,-5.553489128,1.39E-12,I_IV
K01256,2.46344365,1.13E-13,0.850163128,1.66E-08,I_IV
K01258,1.685432799,1.68E-10,2.607502736,3.08E-22,I_IV
K01259,1.003465714,0.008668401,1.075429718,5.37E-07,I_IV
K01261,0.319465801,0.673183576,-2.057030142,0.062799936,I_IV
K01262,-1.105222342,2.17E-05,-0.686659394,8.96E-09,I_IV
K01263,2.111329911,0.00159254,0.851758114,0.425094364,I_IV
K01265,-1.493000753,4.09E-08,-0.005981311,0.976351671,I_IV
K01266,-2.193488651,0.000513929,-4.330880321,1.42E-08,I_IV
K01267,-4.465312554,1.81E-08,-4.980271039,3.29E-10,I_IV
K01269,-1.812125894,0.008396776,2.028627796,3.30E-08,I_IV
K01270,-1.973171731,7.40E-08,1.182012461,7.89E-06,I_IV
K01271,1.820587421,4.31E-09,1.440008887,1.99E-21,I_IV
K01273,-4.779587529,3.38E-09,-5.464090572,3.93E-11,I_IV
K01274,-4.964913922,9.31E-10,-6.03746136,1.17E-11,I_IV
K01277,-4.737685591,8.14E-09,-5.540765,1.12E-10,I_IV
K01278,-4.085826226,1.76E-07,-6.621540976,7.90E-12,I_IV
K01281,5.757927235,4.16E-12,4.728264059,1.81E-31,I_IV
K01284,-4.392742308,2.62E-07,-5.115896853,1.23E-09,I_IV
K01286,6.073441414,9.42E-18,5.396031508,7.88E-23,I_IV
K01289,-0.315822704,0.638596174,-2.593718315,1.05E-05,I_IV
K01293,1.194477256,0.014715278,,,I_IV
K01295,1.126265255,0.014769733,1.613492038,0.018984723,I_IV
K01297,0.394424457,0.678186736,-0.359725725,0.793200549,I_IV
K01299,-5.291986784,1.17E-11,-6.632860121,1.75E-14,I_IV
K01301,,,0.112937829,0.932808719,I_IV
K01303,-4.572461455,6.29E-08,-3.899370359,8.69E-06,I_IV
K01304,0.713384759,0.155818749,0.805617757,0.000692907,I_IV
K01305,-1.104104622,0.077151534,-3.320534825,6.59E-07,I_IV
K01308,0.568311008,0.237630451,-0.986157039,0.07377962,I_IV
K01318,0.935914808,0.059921262,-0.512638641,0.531713949,I_IV
K01322,-4.253597915,2.01E-07,-4.027225692,2.96E-07,I_IV
K01326,1.010335241,0.045475511,,,I_IV
K01337,-2.894393636,0.000509272,-2.916000875,0.00102794,I_IV
K01338,-3.86039859,9.13E-10,-5.325242347,9.38E-11,I_IV
K01342,0.582264896,0.200674777,-0.611108604,0.322520341,I_IV
K01347,0.858253297,0.082891977,-0.06130044,0.963953515,I_IV
K01354,-2.312174754,0.007631763,-7.858816995,1.18E-20,I_IV
K01355,1.012172553,0.042398761,0.013540958,0.99150792,I_IV
K01356,1.743057704,0.000223759,0.213951158,0.289375231,I_IV
K01358,0.610642895,0.028745517,0.669358731,4.47E-06,I_IV
K01361,0.246658801,0.647087993,-2.071952732,1.48E-06,I_IV
K01362,0.750298018,0.002982287,1.715903056,1.06E-14,I_IV
K01364,-2.814258245,0.00015418,-5.823232328,1.33E-08,I_IV
K01365,0.922860158,0.064198267,,,I_IV
K01369,0.029398024,0.960163154,-1.7517297,0.010985402,I_IV
K01372,-0.407177591,0.023693543,-0.82139207,7.27E-11,I_IV
K01376,4.777466934,2.36E-15,5.313786876,7.23E-56,I_IV
K01387,0.984606509,0.026751627,,,I_IV
K01389,,,-0.930163293,0.096721288,I_IV
K01390,-0.749616978,0.22737789,-1.592366164,0.060237816,I_IV
K01400,-1.828808034,0.002373827,-2.128109999,0.00060957,I_IV
K01401,0.923497629,0.074801108,-0.397463233,0.68264616,I_IV
K01406,1.308479553,0.028154108,,,I_IV
K01407,1.092425391,0.031042882,0.125781231,0.934902768,I_IV
K01408,-1.230395513,0.106528637,0.269585435,0.853584579,I_IV
K01409,1.949094955,7.77E-12,0.025411669,0.904763804,I_IV
K01412,-1.141442514,0.069870767,-1.546427521,0.019262501,I_IV
K01414,0.270109582,0.64216447,-0.151000671,0.918637796,I_IV
K01417,-3.402808931,1.32E-07,-4.691170641,9.92E-14,I_IV
K01419,5.439336997,7.33E-17,4.790456188,5.17E-21,I_IV
K01420,1.753806641,0.034346228,1.198073321,9.24E-06,I_IV
K01421,-1.948955913,0.000675907,-2.672573802,1.29E-16,I_IV
K01422,1.988959672,6.00E-05,2.123796125,4.23E-09,I_IV
K01423,-3.748156187,2.19E-11,-7.01561246,6.62E-22,I_IV
K01424,-0.762295641,0.159381856,1.951877738,2.45E-11,I_IV
K01425,-1.06865604,0.135088724,-0.098979597,0.957510315,I_IV
K01426,-2.470697494,0.000343194,-2.091641049,0.003022743,I_IV
K01428,0.430798201,0.650306332,-2.390490995,0.000831981,I_IV
K01429,-0.892728142,0.385131908,-1.082995999,0.106300101,I_IV
K01430,0.137796159,0.874549135,-1.01493159,0.114360199,I_IV
K01433,-0.277496684,0.695049663,-2.532860697,0.001076749,I_IV
K01436,-3.780841185,5.82E-09,-4.426229166,6.39E-13,I_IV
K01438,-1.527253736,0.016031673,-3.27435167,6.09E-06,I_IV
K01439,1.379008799,0.007258415,0.944790806,0.00060353,I_IV
K01442,4.569125286,7.72E-07,3.651572435,1.93E-11,I_IV
K01443,0.134622552,0.727932762,0.727666348,4.09E-05,I_IV
K01444,-3.704419957,8.14E-09,-3.856912195,1.75E-08,I_IV
K01446,-2.649852907,0.000126078,-4.67513735,2.05E-10,I_IV
K01447,2.304519529,6.12E-05,2.704447105,3.70E-09,I_IV
K01448,-3.935947657,1.51E-08,-6.1837276,1.22E-11,I_IV
K01449,0.818629209,0.07607843,,,I_IV
K01451,-4.117372052,9.62E-09,-6.536367631,2.26E-19,I_IV
K01452,-3.228451994,1.45E-06,-5.828194598,4.18E-12,I_IV
K01453,-1.732367985,0.036005544,-2.179211631,0.000382703,I_IV
K01455,,,-0.108432914,0.942470736,I_IV
K01457,0.05901632,0.918925499,-0.619833503,0.456727684,I_IV
K01460,0.761985592,0.111287123,0.215613905,0.858137577,I_IV
K01462,-0.483432518,0.133797512,-0.155389089,0.32035602,I_IV
K01463,0.697730603,0.147288377,0.67606674,6.17E-05,I_IV
K01464,-0.36750434,0.585534533,-1.36901286,0.06620239,I_IV
K01465,1.13928969,0.010770477,0.064771629,0.721597491,I_IV
