,MT_FC,MT_p,MG_FC,MG_p,Comparison
K00574,2.250244041,0.002373827,3.827860708,2.92E-11,I_IV
K00575,-4.061613494,2.25E-05,-4.169069302,8.30E-07,I_IV
K00588,-3.874701107,8.10E-08,-3.560664488,1.08E-07,I_IV
K00590,-0.954194037,0.204518417,-4.017593209,1.16E-07,I_IV
K00595,-1.501326067,0.022657719,-3.743271338,1.06E-06,I_IV
K00598,,,0.065705543,0.963924694,I_IV
K00599,1.085549333,3.52E-08,0.286255104,0.000117772,I_IV
K00600,1.257117655,0.003609912,2.634854342,3.01E-13,I_IV
K00602,-4.949620591,2.20E-11,-6.085112307,5.02E-33,I_IV
K00603,-3.411616976,0.000106624,-3.033949109,0.000127472,I_IV
K00604,0.894848331,0.000475673,-0.02760225,0.872062193,I_IV
K00605,-2.886761319,8.55E-05,-4.897904989,2.52E-11,I_IV
K00606,-4.378121684,7.68E-09,-5.156881235,3.01E-10,I_IV
K00609,-0.225130507,0.577195036,-0.129284984,0.425094364,I_IV
K00610,-4.160235982,7.39E-08,-5.01630701,6.51E-13,I_IV
K00611,-1.731898868,0.000976498,-0.298906518,0.404368083,I_IV
K00612,0.624710475,0.197434354,-0.355143005,0.678764929,I_IV
K00613,-3.837221857,1.67E-05,-2.220224264,5.08E-05,I_IV
K00614,-2.697999003,4.42E-05,-4.177322747,8.39E-08,I_IV
K00615,-3.436933839,6.28E-10,-5.756801381,3.69E-32,I_IV
K00616,-2.540554416,8.85E-06,-2.246922598,1.11E-05,I_IV
K00619,,,-0.282134554,0.718168224,I_IV
K00620,-2.543991457,0.009210506,-3.450999639,2.20E-05,I_IV
K00624,,,0.208183092,0.907250179,I_IV
K00625,0.017932172,0.94813687,1.212457634,6.09E-10,I_IV
K00626,0.961807091,0.001812733,1.207280773,2.50E-07,I_IV
K00627,-2.990463304,0.000232237,-2.53092754,2.44E-05,I_IV
K00631,0.84265995,0.117480419,0.149762997,0.919367542,I_IV
K00632,0.800852645,0.095814085,0.086275866,0.956146831,I_IV
K00633,0.440803727,0.496218129,0.21753842,0.920266312,I_IV
K00634,-4.838507413,4.18E-09,-5.110472458,1.85E-11,I_IV
K00638,-0.378811774,0.444730188,-2.530626642,0.000132284,I_IV
K00639,-4.083977792,6.84E-08,-5.307922196,2.39E-10,I_IV
K00640,-4.76561842,7.25E-10,-6.788427576,1.01E-24,I_IV
K00641,0.187876544,0.839483957,-2.851318998,0.000597569,I_IV
K00645,-1.459916308,0.040509881,0.951594333,0.195363401,I_IV
K00647,-5.87280076,1.46E-11,-4.776659626,8.23E-06,I_IV
K00648,-2.362943666,2.77E-05,-0.395501179,0.725850382,I_IV
K00651,-3.586266699,6.28E-06,-5.726886119,4.77E-15,I_IV
K00652,-4.546739465,7.29E-08,-4.868447704,4.31E-10,I_IV
K00655,-0.750750388,0.081559326,-1.346404932,1.65E-19,I_IV
K00656,-3.977083417,1.00E-11,-7.840459032,2.44E-29,I_IV
K00657,-2.241028064,0.004418662,-2.487582435,0.000108863,I_IV
K00658,-1.092251144,0.195879883,-2.43759974,0.004568594,I_IV
K00660,1.199537555,0.015990776,,,I_IV
K00661,4.296334264,9.72E-09,3.25332196,7.74E-13,I_IV
K00662,3.884168244,3.37E-08,7.43539875,4.78E-26,I_IV
K00663,0.787274498,0.151940445,-0.784546087,0.230925719,I_IV
K00666,-1.840879821,0.013712897,-3.191214636,0.00071152,I_IV
K00668,1.23548637,0.004594611,0.147926835,0.909596205,I_IV
K00673,,,0.205899523,0.847756913,I_IV
K00674,-3.63317127,9.01E-06,-5.407988789,1.71E-10,I_IV
K00675,1.063282184,0.034636019,-0.722905048,0.362937169,I_IV
K00676,-2.763963528,0.000116343,-2.399441924,0.004335042,I_IV
K00677,-5.569354412,1.64E-10,-5.05296689,8.66E-10,I_IV
K00680,0.110448015,0.689404249,0.745655906,6.62E-05,I_IV
K00681,-1.008243576,0.066110952,-2.674266515,0.000260613,I_IV
K00683,0.125680959,0.819816189,-0.71063067,0.43346571,I_IV
K00684,0.968256851,0.138109291,-0.419152091,0.594836284,I_IV
K00687,6.549665508,4.05E-16,5.122924885,3.74E-35,I_IV
K00688,-3.932424678,9.27E-10,-7.454199829,3.34E-32,I_IV
K00689,-1.990857758,0.004569827,-3.572537807,6.80E-05,I_IV
K00690,3.600827166,1.57E-05,3.313649441,1.67E-05,I_IV
K00691,3.058012221,4.15E-11,4.302010589,4.84E-35,I_IV
K00692,3.557228589,3.86E-05,7.648560797,1.87E-15,I_IV
K00694,0.861389991,0.123318008,-0.557099394,0.559272513,I_IV
K00697,0.409097792,0.638367508,-0.649992495,0.483644935,I_IV
K00700,-3.562637531,1.56E-08,-7.473894247,1.30E-30,I_IV
K00701,-4.189499957,7.84E-07,-4.427528946,6.35E-07,I_IV
K00702,0.909852362,0.047660505,-0.114040903,0.929489939,I_IV
K00703,-5.255496145,4.73E-11,-6.561660117,1.88E-19,I_IV
K00705,-3.867767884,2.51E-10,-8.030174619,3.15E-29,I_IV
K00706,0.965889868,0.030794361,,,I_IV
K00712,3.361781615,2.66E-05,2.979228113,0.002094953,I_IV
K00721,-4.917895705,1.66E-10,-5.630823193,2.52E-31,I_IV
K00728,,,0.00954858,0.994176312,I_IV
