UID,SID,CST,Color,Timepoint,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
UAB028_W7D7,UAB028,IV,#262fd4,4,0.004707266,0.000377296,,3.04E-07,1.32E-08,2.29E-06,0.00012243,0.000527968,0.000333951
UAB028_W9D7,UAB028,I,#d44646,5,0.004014303,0.000337324,1.63E-07,,1.17E-05,,9.95E-05,0.000374675,0.000169649
UAB035_W2D7,UAB035,IV,#262fd4,1,0.001646845,0.000465295,8.51E-06,3.22E-05,,7.73E-05,0.000130513,0.000461637,0.000617734
UAB035_W3D6,UAB035,IV,#262fd4,2,0.001659351,0.000449543,0.000151941,0.000100829,1.18E-05,1.73E-05,0.000224642,0.000564846,0.000565029
UAB035_W5D7,UAB035,IV,#262fd4,3,0.003163057,0.000734955,4.65E-05,5.41E-05,8.08E-06,0.0001012,4.12E-05,0.000169103,0.001507415
UAB035_W7D4,UAB035,IV,#262fd4,4,0.001796497,2.02E-05,5.67E-05,,,,0.000347363,0.000580016,0.001197416
UAB035_W9D7,UAB035,IV,#262fd4,5,0.002957206,0.001023872,3.75E-05,1.36E-05,5.22E-09,8.65E-08,1.94E-05,0.000557325,0.005478769
UAB038_W2D2,UAB038,I,#d44646,1,0.003476924,2.87E-05,2.19E-07,,6.44E-06,,0.000104278,0.000493272,0.000396137
UAB038_W3D7,UAB038,IV,#262fd4,2,0.001731389,0.000181363,1.35E-05,4.12E-07,,,9.78E-05,0.000339417,0.000391323
UAB038_W5D7,UAB038,II,#7ac472,3,0.001785457,2.96E-05,8.21E-07,,,,0.000184576,0.000622302,0.000641139
UAB038_W7D4,UAB038,IV,#262fd4,4,0.000715297,7.40E-05,0.000163002,4.69E-07,,3.30E-07,2.90E-05,0.001078039,0.000682437
UAB038_W9D7,UAB038,IV,#262fd4,5,0.001109582,0.000481693,,7.56E-06,,6.69E-06,3.88E-06,0.000310696,0.001731673
UAB039_W1D7,UAB039,IV,#262fd4,1,0.002563497,0.001187103,0.000143345,7.95E-05,1.12E-07,,5.04E-05,0.000198018,0.001030472
UAB039_W3D6,UAB039,IV,#262fd4,2,0.003731292,0.000338169,2.91E-06,,,1.96E-06,3.69E-06,0.000200864,4.65E-05
UAB039_W5D7,UAB039,IV,#262fd4,3,0.001669143,0.00067364,0.000392156,2.24E-05,5.87E-08,3.27E-07,8.90E-05,0.000247884,0.000159645
UAB039_W7D7,UAB039,IV,#262fd4,4,0.00312622,0.000515508,8.87E-05,5.95E-06,2.42E-05,3.20E-07,0.000110769,0.000321699,0.003482172
UAB039_W9D7,UAB039,IV,#262fd4,5,0.001452115,0.001057601,3.45E-05,4.51E-06,2.01E-06,,3.09E-05,0.000207787,0.001172669
UAB044_W1D7,UAB044,II,#7ac472,1,0.001190072,2.35E-05,,,1.01E-06,0.00032773,5.53E-05,0.001231679,0.000148204
UAB044_W3D7,UAB044,II,#7ac472,2,0.001965125,0.000694061,8.70E-06,,,2.40E-05,1.87E-05,0.000507512,0.001063928
UAB044_W5D7,UAB044,II,#7ac472,3,0.001551827,0.00020526,4.70E-07,,,5.17E-05,3.95E-06,0.000762704,0.000263002
UAB044_W7D7,UAB044,II,#7ac472,4,0.000896578,0.000277632,4.22E-05,0.000135935,,0.000301667,6.72E-05,0.001254604,0.000624596
UAB044_W9D7,UAB044,II,#7ac472,5,0.000811295,9.80E-06,4.36E-06,2.75E-06,2.45E-06,0.000124068,2.00E-05,0.000819639,2.20E-06
UAB048_W1D7,UAB048,IV,#262fd4,1,0.002836868,0.001782514,0.000314265,7.71E-05,6.69E-07,4.24E-05,8.48E-05,0.000102773,0.001768356
UAB048_W3D7,UAB048,IV,#262fd4,2,0.002560378,0.001085768,0.00017661,2.68E-05,2.24E-06,2.59E-05,3.37E-05,0.000119461,0.003100213
UAB048_W5D2,UAB048,IV,#262fd4,3,0.002886261,0.001547608,8.56E-05,1.55E-05,1.10E-05,1.31E-05,2.75E-05,0.000129445,0.004882161
